0,1,2,3,4
Julio,"$ 324.997,28","7,4%","37.148,07","37.148,07"
Agosto,"$ 344.057,43","5,9%","39.326,69","39.326,69"
Septiembre,"$ 376.594,32","9,5%","43.045,75","43.045,75"
Octubre,"$ 420.706,55","11,7%","48.087,89","48.087,89"
Noviembre,"$ 447.079,57","6,3%","51.102,40","51.102,40"
Diciembre,"$ 484.298,40","8,3%","55.356,61","55.356,61"
2024,,,,
Enero,"$ 555.269,16","14,7%","63.468,76","63.468,76"
Febrero,"$ 619.007,05","11,5%","70.754,17","70.754,17"
Marzo,"$ 705.832,58","14,0%","80.678,57","80.678,57"
Abril,"$ 819.501,72","16,1%","93.671,26","93.671,26"
Mayo,"$ 879.483,08","7,3%","100.527,29","100.527,29"
Junio,"$ 933.179,85","6,1%","106.664,97","106.664,97"
Julio,"$ 994.681,38","6,6%","113.694,76","113.694,76"
Agosto,"$ 1.032.410,48","3,8%","118.007,30","118.007,30"
Septiembre,"$ 1.075.145,08","4,1%","122.891,98","122.891,98"
Octubre,"$ 1.146.474,18","6,6%","131.045,09","131.045,09"
Noviembre,"$ 1.178.925,33","2,8%","134.754,34","134.754,34"
Diciembre,"$ 1.202.927,89","2,0%","137.497,90","137.497,90"
2025,,,,
Enero,"$ 1.234.658,40","2,6%","141.124,78","141.124,78"
Febrero,"$ 1.310.357,80","6,1%","149.777,43","149.777,43"
Marzo,"$ 1.363.510,33","4,1%","155.852,91","155.852,91"
Abril,"$ 1.402.606,61","2,9%","160.321,72","160.321,72"
Mayo,"$ 1.428.661,30","1,9%","163.299,84","163.299,84"
Junio,"$ 1.468.135,75","2,8%","167.811,87","167.811,87"
Julio,"$ 1.510.680,81","2,9%","172.674,89","172.674,89"
Agosto,"$ 1.530.297,32","1,3%","174.917,11","174.917,11"
Septiembre,"$ 1.551.831,75","1,4%","177.378,55","177.378,55"
Octubre,"$ 1.593.047,33","2,7%","182.089,61","182.089,61"
Noviembre,"$ 1.611.851,61","1,2%","184.238,99","184.238,99"
Diciembre,"$ 1.633.547,00","1,3%","186.718,83","186.718,83"
* Resolución ex MTEySS 467/2021.,,,,
,,Remuneración imponible promedio,,
,,,,RIPTE - Índice No Decreciente*
,,de los trabajadores estables (RIPTE),,Base 07/94 = 100
,,,,(uso exclusivo Riesgos del
,,,,Trabajo)
,,Variación % respecto,Indice,
Período,Monto en $,mes anterior,Base 07/94 = 100,
2026,,,,
Enero,"$ 1.646.344,54","0,8%","188.181,62","188.181,62"
* Resolución ex MTEySS 467/2021.,,,,
Fuente: Subsecretaría de Seguridad Social.,,,,
